company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,file_url
Alkyl Amines Chemicals Ltd-$,2025-08-14T13:06:59.66,413.49,49.44,,9.67,9.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86810039-a549-4550-b40f-09c5180f6815.pdf
Alok Industries Ltd,2025-07-17T18:07:08.85,932.49,-171.56,,-0.35,-0.35,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dcb98386-3903-447e-b2db-d5763faf5ccd.pdf
Amara Raja Energy & Mobility Ltd,2025-08-14T14:00:07.513,3401.08,164.8,,9,9,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=405c8b71-0df5-4846-bcdd-c0af3e846807.pdf
Amber Enterprises India Ltd,2025-07-29T13:19:47.927,347880.46,10597.7,28636.89,20.11,20.11,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=371a011e-1830-4236-975d-600f4d5cb6d9.pdf
Ambuja Cements Ltd,2025-07-31T13:50:04.843,10244.11,969.66,,3.2,3.2,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dd20fda5-0a93-4d7f-bba7-55605006018d.pdf
Anand Rathi Wealth Ltd,2025-07-10T16:43:23.743,27401.65,9391.01,,11.31,11.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=98c4203a-fe88-418a-8ee6-77a9f86312a7.pdf
Anant Raj Ltd-$,2025-07-24T17:30:20.547,592.41,125.9,,3.67,3.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ace36fa-0e44-4481-a1f7-555a2141707f.pdf
Angel One Ltd,2025-07-16T20:05:18.48,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dab67b2e-666e-48e5-b518-4058b5936d2c.pdf
Apar Industries Ltd,2025-07-29T12:51:23.257,5104.16,262.91,,65.45,65.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b7192c6c-e9f5-48c2-a61e-75a4b9720a21.pdf
APL Apollo Tubes Ltd,2025-07-24T14:58:32.223,5169.77,237.17,,8.55,8.54,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=82f35392-d641-4bbb-b851-b3eef45a939e.pdf
Apollo Hospitals Enterprise Ltd,2025-08-12T19:15:55,58421,4410,8520,30.1,30.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2c141ce3-c2fd-4076-ad3c-945894ee9a3e.pdf
Apollo Tyres Ltd,2025-08-07T18:02:47.09,65607.59,128.78,6032,0.2,0.2,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a6e03557-4e6c-4ac4-93a9-4f1efb9beb46.pdf
Aptus Value Housing Finance India Ltd,2025-07-31T13:41:12.11,35566.9,15472.73,,3.1,3.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04831510-b5b6-4d29-b349-0668b151e32c.pdf
Asahi India Glass Ltd,2025-07-30T13:47:38.53,123951,5479,,2.31,2.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2d8ef34-4faf-4e3f-a3f0-edc193147ea1.pdf
Ashok Leyland Ltd,2025-08-14T12:49:36.073,8725,594,970,1.01,1.01,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9039127b-05d0-4b61-ad28-5011eb35d082.pdf
Asian Paints Ltd,2025-07-29T14:17:07.087,8938.55,1117.05,,11.47,11.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5f30a886-30cb-4cdf-84c9-841f81f4c585.pdf
Aster DM Healthcare Ltd,2025-07-30T18:51:11.48,1077.87,93.56,,1.67,1.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=18eba4c2-52b9-43cf-814a-35e499b9ab7c.pdf
Astral Ltd,2025-08-11T16:07:04.7,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ba9ad73-7718-4e7e-b594-cb32516a2667.pdf
AstraZeneca Pharma India Ltd,2025-08-14T14:09:53.677,5263.1,558.3,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=48cf5f79-c911-46e4-9d72-4828940b3d02.pdf
Atul Ltd,2025-07-18T13:25:07.273,1478,132.36,,43.4,43.4,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19d7d5a2-eb36-4232-b47a-bef761bc4520.pdf
AU Small Finance Bank Ltd,2025-07-19T16:25:06.623,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=048c7d9b-6d25-4169-a0f4-eccd9891c579.pdf
Authum Investment & Infrastructure Ltd,2025-07-14T19:21:43.687,1215.13,943.01,,55.52,55.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=811f5c7d-b6f3-495f-9a3e-ee12945bd73a.pdf
Avenue Supermarts Ltd,2025-07-11T18:34:24.73,16359.7,772.81,,11.88,11.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=89a52eba-1d7e-4551-a68c-cc39792835eb.pdf
AWL Agri Business Ltd,2025-07-15T14:24:00.05,17058.65,237.95,,1.84,1.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=61ad1cd6-0ab9-453e-b3a2-ba9f3afbae64.pdf
AXIS Bank Ltd,2025-07-17T15:42:36.463,40401,6243.72,,20.15,20.04,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=76bf54d3-f53f-4085-a3c6-cdcbbfa3333f.pdf
Bajaj Auto Ltd,2025-08-06T12:23:22.657,13133.35,2210.44,,79.2,79.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ce6f86ec-54fd-4533-90e6-cd9f02a38c21.pdf
Bajaj Finance Ltd,2025-07-24T15:52:34.92,19527.74,4765.29,,7.57,7.55,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dfc1079e-0b31-4947-8dac-9fac149b7d8d.pdf
Bajaj Finserv Ltd,2025-07-25T12:18:49.603,35439.08,2789.05,,17.5,17.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c592f153-d4e6-405a-a149-9139f458fc56.pdf
Bajaj Holdings & Investment Ltd,2025-08-06T16:01:28.257,324.66,3486.51,,313.3,313.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=80343020-ae1d-49e5-98e7-a6f5adc99ad4.pdf
Bajaj Housing Finance Ltd,2025-07-23T16:01:09.543,2615.71,583.3,,0.7,0.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f57ed90a-5654-4def-bb13-92e5e57593fa.pdf
Balrampur Chini Mills Ltd,2025-08-12T14:45:20.69,154227.41,4308.68,,2.13,2.11,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=84c262ec-1a67-4088-8fbd-f19ffeaef777.pdf
Bank of Baroda,2025-07-25T16:40:26.083,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86935454-e5f7-46d6-be65-0c89b783eca9.pdf
Bank of India,2025-07-29T16:20:45.217,2067762,182956,,4.02,4.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a0044d8f-b5ed-4d35-b661-01c46b4a0f38.pdf
Bank of Maharashtra,2025-07-15T13:19:51.183,787882,159309,,1.96,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e472a47f-d1bb-4acb-894d-99f87e7f8061.pdf
BASF India Ltd,2025-07-30T14:21:45.337,38745.4,1374,,31.7,31.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2937d0f3-bf0a-47c3-9144-c39f017a8d12.pdf
Bata India Ltd,2025-08-11T19:02:28.297,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=066c267a-8512-4409-ad7f-f42e9527dc63.pdf
Bayer CropScience Ltd,2025-08-06T14:21:46.11,19146,2787,,62.01,62.01,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c774a812-d128-4231-a2c4-0933730bb238.pdf
Berger Paints India Ltd,2025-08-05T14:45:24.963,3200.76,315.04,528.4,2.7,2.7,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c250d9e-c90a-4b3e-9776-df3b56a69f7e.pdf
Bharat Dynamics Ltd,2025-08-12T15:52:33.953,24792.9,1834.98,,0.5,0.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=31ba92f9-07d9-4a78-a1bf-740a6b3d3508.pdf
Bharat Electronics Ltd,2025-07-28T15:36:22.873,441683,96913,,1.33,1.33,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=069b66f3-72f0-4b6d-b905-1949920d05e8.pdf
Bharat Forge Ltd,2025-08-06T13:22:49.343,39087.49,2838.7,6800.29,5.93,5.93,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=254e2edd-413c-45dd-abd8-11b32413d189.pdf
Bharat Heavy Electricals Ltd,2025-08-06T18:17:38.48,5486.91,-455.5,,-1.31,-1.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3a82e99c-e714-4ebf-a6d7-a4fee81e408c.pdf
Bharat Petroleum Corporation Ltd,2025-08-13T15:44:29.273,129614.69,6839.02,,16.01,16.01,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1f2d892-bc67-4601-bca3-e2b421749c19.pdf
Bharti Hexacom Ltd,2025-08-05T17:19:43.223,22630,3916,12172,7.83,7.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f38e616b-3962-42e1-b9d7-c2d29da763e0.pdf
Bikaji Foods International Ltd,2025-07-23T18:31:03.577,65266.65,5852.77,,2.39,2.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fce08876-3c53-4c9a-bc64-140b3122e8ba.pdf
Biocon Ltd,2025-08-07T20:14:55.34,39419,892,,0.26,0.26,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7be3f098-c01e-461e-af89-23b9691f2341.pdf
Birlasoft Ltd,2025-08-07T15:24:25.657,12848.98,1064.34,,3.81,3.78,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0c839ace-0415-42a4-b0dd-05ae1e9598e4.pdf
BLS International Services Ltd,2025-08-05T17:29:38.14,71056.53,18097.57,,4.15,4.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=07f153a5-9d3a-4e33-86be-4c5e68e9410f.pdf
Blue Dart Express Ltd,2025-07-29T18:31:57.973,144192,4883,,20.58,20.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=82683435-b9a6-43d5-9017-b2d5de069a06.pdf
Bombay Burmah Trading Corporation Ltd,2025-08-12T13:54:38.83,4711.91,497.66,712.66,34.5,34.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=879ddf6c-d066-4b29-86f0-c6fb329b7f27.pdf
Bosch Ltd,2025-08-04T19:42:16.183,47886,11154,,378.19,378.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=084132ce-1b55-40db-8f9f-c88ee3f83b3e.pdf
Brainbees Solutions Ltd,2025-08-13T17:33:47.74,18625.64,-665.04,815.31,-0.96,-0.96,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ffac3eb7-394e-4303-823f-e514d1614c00.pdf
Brigade Enterprises Ltd,2025-08-13T17:54:16.89,128114,15795,,6.13,6.12,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e74c2471-315c-4c81-844b-cde84f11effb.pdf
Britannia Industries Ltd,2025-08-05T18:16:17.717,4622.22,520.13,,21.62,21.62,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3b21f466-64ed-4dfe-9fab-f3b755198609.pdf
C.E. Info Systems Ltd,2025-08-07T17:04:36.723,12161,4581,,8.48,8.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9550db60-32be-4d25-9ca9-6474223735e0.pdf
Campus Activewear Ltd,2025-08-13T15:37:42.123,343.27,22.2,,0.73,0.72,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4ef251a3-0e8d-4f4a-9648-44e5c2835d24.pdf
Can Fin Homes Ltd,2025-07-19T19:09:52.277,102040.4,22387.33,,16.81,16.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5e3cf12-a5d6-41f6-b80a-21ec071abfdd.pdf
Canara Bank,2025-07-24T13:15:05.17,41441.51,3194.95,,3.52,3.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bfa19cd6-585f-46e1-878f-d877cd4ba20a.pdf
Caplin Point Laboratories Ltd,2025-08-07T13:00:25.6,533.36,150.76,200.9,20.1,20.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e18ffab4-fe29-41aa-a4b8-a235793e22bf.pdf
Capri Global Capital Ltd,2025-08-01T14:14:43.207,2379.06,255.12,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d989e61b-e97d-4180-a871-5f3f0d020188.pdf
Carborundum Universal Ltd,2025-08-07T14:34:37.207,121902,6189,,3.28,3.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ca235660-be32-4656-beaf-2b9b88ad46fc.pdf
CCL Products (India) Ltd,2025-08-05T18:32:05.47,105563.89,7244.86,,5.45,5.44,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d2528d90-3187-4901-bdd3-4f6b41c790f1.pdf
Ceat Ltd,2025-07-17T19:23:30.267,3529.4,112.3,386.2,27.8,27.8,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=202dfefe-f5c5-4f0d-95c2-49fae5e78e10.pdf
Central Bank of India,2025-07-19T14:01:41.8,1041011,128198,231541,1.42,1.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e550221c-6d42-46a5-9b20-e6bd83fb3be6.pdf
Century Plyboards (India) Ltd-$,2025-08-07T13:47:55.343,116935.99,5292.9,,2.33,2.33,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4ca33492-797d-4177-a1e4-874648e0de25.pdf
Cera Sanitaryware Ltd,2025-08-06T12:33:57.487,42218.73,4705.09,,36.1,36.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a82586a-c7f2-423a-bddf-49dfdcbf4930.pdf
CESC Ltd,2025-07-30T16:25:37.507,5202,404,,2.92,2.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=48ba7871-fc00-4ca4-b5ad-f062171ee32d.pdf
Chalet Hotels Ltd,2025-07-31T20:06:03.36,8945.51,2031.28,3710.65,9.3,9.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea6092ea-f7fb-4f8c-b0eb-017da70c3eeb.pdf
Chambal Fertilisers & Chemicals Ltd,2025-07-31T16:53:57.063,5697.61,548.89,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4d588520-6a11-4568-96b7-79979f7d3ee1.pdf
Cholamandalam Financial Holdings Ltd,2025-08-08T14:07:44.27,9382.95,1259.54,,30.81,30.81,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=25395754-ad39-475c-8c03-25fbbac962cb.pdf
Cholamandalam Investment and Finance Company Ltd,2025-07-31T14:50:30.69,7331,1136,,13.51,13.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6b92a784-26f0-454e-b982-6a9b2bc699f7.pdf
Cipla Ltd,2025-07-25T13:19:06.96,6957.47,1291.61,,15.13,15.12,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f08b36a2-0581-4ba9-96cd-5af764b25f25.pdf
City Union Bank Ltd,2025-07-31T16:36:38.793,184920,30592,,4.13,4.1,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d019acd0-c166-4cdc-ad10-a300460c8516.pdf
Clean Science and Technology Ltd,2025-07-17T15:43:22.987,2428.69,700.63,,6.59,6.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8d23cb3-bc16-4b39-abd1-7a7a90bbeff2.pdf
Coal India Ltd,2025-07-31T17:24:00.58,35442.19,8734.17,,14.19,14.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=67123a3f-024c-40fc-8da5-a9c2bd95f037.pdf
Cochin Shipyard Ltd,2025-08-12T18:03:08.42,106859.48,18782.88,,7.14,7.14,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad86f0df-dcb1-4168-a30d-0be015d30f02.pdf
Cohance Lifesciences Ltd,2025-08-13T17:14:28.18,5493,629,1314,1.28,1.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=536f1fc9-8042-4b24-9b24-c52e2c8af247.pdf
Colgate Palmolive (India) Ltd,2025-07-22T13:14:11.77,142064,32062,,11.79,11.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b64f5b30-8349-4701-8600-4332ce188134.pdf
Computer Age Management Services Ltd,2025-07-30T18:52:31.387,36665,10909.05,,22.07,21.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6f90e03e-7c75-4481-9a90-21153cbb0a35.pdf
Computer Age Management Services Ltd,2025-07-30T17:44:35.11,36729.97,10909.05,,22.07,21.97,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96173096-a43a-47a0-ac51-62fe4db905be.pdf
Concord Biotech Ltd,2025-08-08T17:16:13.277,20398.76,4305.78,,4.07,4.07,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53671625-8568-438f-a27c-13cdc3698d15.pdf
Container Corporation of India Ltd,2025-08-05T18:33:52.157,2153.63,259.13,,3.51,3.51,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f2fa1479-673d-466e-b3ed-9fbd9f6daf9d.pdf
Coromandel International Ltd,2025-07-24T13:57:21.21,7042.3,501.59,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d018ae7-3b0e-4af2-a29c-dd7f87317068.pdf
Craftsman Automation Ltd,2025-07-29T13:37:50.5,178897,6960,18872,36.89,36.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=84f91a20-15ae-4955-bb3f-6ab81764a0d3.pdf
CreditAccess Grameen Ltd,2025-07-22T17:13:04.113,1462.89,60.19,,3.77,3.76,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=01b783f4-754d-44ea-8a72-dc9b5a4e4b12.pdf
Crompton Greaves Consumer Electricals Ltd,2025-08-07T15:39:36.61,1998.34,123.9,,1.9,1.9,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d194122f-7846-40b8-a480-c8c3cbf16030.pdf
Cummins India Ltd,2025-08-07T17:57:34.413,2858.71,603.9,,21.79,21.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=52cfea78-ccd5-4aa2-aa45-d25578d1ba7f.pdf
Dabur India Ltd,2025-07-31T15:08:31.69,3404.58,508.29,,2.9,2.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33fe08ff-7454-41a8-b9c0-dffd2147a3c5.pdf
Dalmia Bharat Ltd,2025-07-22T18:34:01.613,3636,395,,20.95,20.95,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=971aeb7e-72b0-4558-a5e4-6c4188fdff8e.pdf
Data Patterns (India) Ltd,2025-08-07T18:44:45.397,99.33,25.5,,4.55,4.55,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c38ae791-1735-40a8-a33a-fb9983556127.pdf
DCM Shriram Ltd,2025-07-21T17:26:46.27,3455.18,113.82,325.73,7.27,7.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc2069b8-fc43-4880-8fbb-52dc382e57d2.pdf
Deepak Nitrite Ltd-$,2025-08-13T18:31:24.683,1914.44,112.25,,8.23,8.23,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=479b429a-d501-4860-92e1-69024331a778.pdf
Delhivery Ltd,2025-08-01T16:35:18.123,22940.01,910.46,,1.22,1.2,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cce0486-6956-4801-a2a1-ee40942ddc16.pdf
Devyani International Ltd,2025-08-13T12:38:30.28,13569.69,22.28,,0.03,0.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=285a0a10-b4f0-48fd-b5ba-903185a62351.pdf
